"Gene.Name","EV-R1","EV-R2","EV-R3","KO-R1","KO-R2","KO-R3"
"HES4",20,7,9,9,5,5
"MFSD14A",112,79,84,49,53,39
"RTCA-AS1",85,68,73,59,68,58
"UBE4B",3,5,5,1,0,2
"GPR88",2,4,3,0,1,3
"LOC102606465",7,4,16,7,13,7
"PGD",22,17,11,8,6,14
"CENPS",13,17,10,11,16,7
"PEX14",3,2,2,2,3,1
"LINC01676",1,2,4,0,1,2
"LOC100288175",2,1,1,0,2,1
"PEX14",20,32,22,15,8,19
"LOC100288175",11,14,9,3,2,3
"CASZ1",11,4,10,9,0,6
"VAV3",1,1,1,0,0,0
"VAV3",0,0,1,0,0,0
"RNF223",4,1,1,1,0,3
"FAM102B",3,2,1,0,1,1
"PRPF38B",24,25,19,17,14,8
"CLCC1",16,15,9,15,11,14
"TAF13",18,19,13,5,4,10
"SCARNA2",1774,1170,1485,961,1182,921
"KIAA1324",1,0,2,2,2,3
"CELSR2",2,0,8,1,2,1
"PSRC1",59,41,52,25,9,23
"SORT1",2,0,5,2,0,0
"ATXN7L2",9,8,11,2,5,4
"EPS8L3",17,17,11,10,8,10
"AHCYL1",0,0,2,0,0,1
"AHCYL1",14,13,14,8,10,10
"STRIP1",45,31,34,19,20,13
"TARDBP",48,51,48,31,26,34
"RBM15",6,10,4,4,4,5
"LAMTOR5-AS1",25,27,26,14,19,18
"LRIF1",35,44,38,16,25,16
"EXOSC10",100,75,77,39,39,42
"DRAM2",17,8,9,9,18,7
"INKA2",10,10,3,2,8,4
"C1orf159",26,27,32,12,7,9
"CAPZA1",82,81,52,63,62,50
"MTOR",4,2,7,3,6,3
"MOV10",47,36,44,28,27,36
"RHOC",320,304,265,186,182,182
"RHOC",3,2,5,1,1,0
"UBIAD1",52,41,56,45,47,41
"LINC01342",38,26,26,13,17,5
"MAGI3",1,0,1,0,0,0
"PHTF1",51,52,37,18,21,19
"HIPK1-AS1",3,1,1,2,0,2
"OLFML3",101,82,60,49,40,53
"TRIM33",9,9,9,6,6,7
"TRIM33",3,2,2,6,4,4
"NRAS",265,243,279,181,215,196
"CSDE1",18,22,18,12,14,16
"MIR200B",29,22,26,6,11,4
"LOC101928977",10,10,7,22,18,21
"ATP1A1",37,30,32,11,10,10
"LINC01762",10,8,16,2,2,2
